path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\001538.doc,.doc,true,false,430692,0,,,772,0,0,
testdata\web-samples\samples\doc\001542-2.doc,.doc,true,false,146325,0,,,349,0,0,
testdata\web-samples\samples\doc\001542.doc,.doc,true,false,146325,0,,,317,0,0,
testdata\web-samples\samples\doc\001567-2.doc,.doc,true,false,114902,0,,,412,0,0,
testdata\web-samples\samples\doc\001567.doc,.doc,true,false,114902,0,,,487,0,0,
testdata\web-samples\samples\doc\001572-2.doc,.doc,true,false,127278,0,,,667,0,0,
testdata\web-samples\samples\doc\001572.doc,.doc,true,false,127278,0,,,420,0,0,
testdata\web-samples\samples\doc\001577-2.doc,.doc,true,false,26207,0,,,117,0,0,
testdata\web-samples\samples\doc\001577.doc,.doc,true,false,26207,0,,,112,0,0,
testdata\web-samples\samples\doc\001611-2.doc,.doc,true,false,6911,1,,,36,0,0,
testdata\web-samples\samples\doc\001611.doc,.doc,true,false,6911,1,,,35,0,0,
testdata\web-samples\samples\doc\001612-2.doc,.doc,true,false,197565,0,,,274,0,0,
testdata\web-samples\samples\doc\001612.doc,.doc,true,false,197565,0,,,274,0,0,
testdata\web-samples\samples\doc\001614-2.doc,.doc,true,false,6413,0,,,27,0,0,
testdata\web-samples\samples\doc\001614.doc,.doc,true,false,6413,0,,,28,0,0,
testdata\web-samples\samples\doc\001616-2.doc,.doc,true,false,1714,3,,,7,0,0,
testdata\web-samples\samples\doc\001616.doc,.doc,true,false,1714,3,,,4,0,0,
testdata\web-samples\samples\doc\001618-2.doc,.doc,true,false,4350,0,,,31,0,0,
testdata\web-samples\samples\doc\001618.doc,.doc,true,false,4350,0,,,31,0,0,
testdata\web-samples\samples\doc\001619-2.doc,.doc,true,false,0,3,,,2,0,0,
testdata\web-samples\samples\doc\001619.doc,.doc,true,false,0,3,,,2,0,0,
testdata\web-samples\samples\doc\001621-2.doc,.doc,true,false,0,3,,,2,0,0,
testdata\web-samples\samples\doc\001621.doc,.doc,true,false,0,3,,,1,0,0,
testdata\web-samples\samples\doc\001622-2.doc,.doc,true,false,30146,2,,,97,0,0,
testdata\web-samples\samples\doc\001622.doc,.doc,true,false,30146,2,,,96,0,0,
testdata\web-samples\samples\doc\001623-2.doc,.doc,true,false,77163,1,,,244,0,0,
testdata\web-samples\samples\doc\001623.doc,.doc,true,false,77163,1,,,245,0,0,
testdata\web-samples\samples\doc\001625-2.doc,.doc,true,false,12153,14,,,57,0,0,
testdata\web-samples\samples\doc\001625.doc,.doc,true,false,12153,14,,,54,0,0,
testdata\web-samples\samples\doc\001626-2.doc,.doc,true,false,14931,0,,,38,0,0,
testdata\web-samples\samples\doc\001626.doc,.doc,true,false,14931,0,,,39,0,0,
testdata\web-samples\samples\doc\001628-2.doc,.doc,true,false,28499,0,,,70,0,0,
testdata\web-samples\samples\doc\001628.doc,.doc,true,false,28499,0,,,73,0,0,
testdata\web-samples\samples\doc\001629-2.doc,.doc,true,false,45409,1,,,203,0,0,
testdata\web-samples\samples\doc\001629.doc,.doc,true,false,45409,1,,,201,0,0,
testdata\web-samples\samples\doc\001631-2.doc,.doc,true,false,45052,0,,,178,0,0,
testdata\web-samples\samples\doc\001631.doc,.doc,true,false,45052,0,,,173,0,0,
testdata\web-samples\samples\doc\001632-2.doc,.doc,true,false,21452,0,,,70,0,0,
testdata\web-samples\samples\doc\001632.doc,.doc,true,false,21452,0,,,55,0,0,
testdata\web-samples\samples\doc\001633-2.doc,.doc,true,false,156478,1,,,611,0,0,
testdata\web-samples\samples\doc\001633.doc,.doc,true,false,156478,1,,,569,0,0,
testdata\web-samples\samples\doc\001634-2.doc,.doc,true,false,36934,0,,,154,0,0,
testdata\web-samples\samples\doc\001634.doc,.doc,true,false,36934,0,,,157,0,0,
testdata\web-samples\samples\doc\001635-2.doc,.doc,true,false,12885,0,,,32,0,0,
testdata\web-samples\samples\doc\001635.doc,.doc,true,false,12885,0,,,34,0,0,
testdata\web-samples\samples\doc\001636-2.doc,.doc,true,false,16493,2,,,76,0,0,
testdata\web-samples\samples\doc\001636.doc,.doc,true,false,16493,2,,,58,0,0,
testdata\web-samples\samples\doc\001637-2.doc,.doc,true,false,476501,0,,,7790,0,0,
testdata\web-samples\samples\doc\001637.doc,.doc,true,false,476501,0,,,7457,0,0,
